N0;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N1;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N2;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N3;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N4;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N5;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N6;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N7;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N8;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N1-N2;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N1-N3;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N2-N8;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;N1-N2-N8;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;G1;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31;G2;I1;I2;I3;I4;I5;I6;I7;I8;I9;I11;I12;I13;I14;I15;I16;I17;I18;I19;I20;I21;I22;I23;I24;I25;I26;I27;I28;I29;I30;I31
Gemiddelde;0;0;0;81;79;15;25;2;44;4.4;0;52;9;46;67;6;20;60;20;18;0;0;34;42;48;0;0;0;71;80;Mannen;0;0;0;81;80;14;21;;46;4.4;0;51;12;38;71;6;17;58;25;16;0;0;35;42;49;0;0;0;71;80;Laag;0;0;0;79;93;15;27;;47;4;0;;;;40;11;30;67;3;39;0;0;;;55;0;0;0;56;80;Niet-westers;0;0;0;78;94;22;28;;56;3.9;0;36;13;29;59;9;28;64;9;33;0;0;20;55;41;0;0;0;56;80;Surinaams;0;0;0;;;23;28;;;;0;28;15;26;63;10;19;71;10;31;0;0;25;39;44;0;0;0;;80;1e generatie;0;0;0;77;94;;;;56;4.1;0;40;;24;59;14;23;63;14;29;0;0;26;45;44;0;0;0;55;80;Jongeren (16 t/m 29 jaar);0;0;0;79;77;16;25;;50;4.5;0;;;;72;6;40;52;8;14;0;0;25;50;23;0;0;0;56;80;Surinaams / Antilliaans;;;;;;;;;;;;;;;63;10;;;;;;;;;;;;;;;niet-westers;0;0;0;78;94;19;27;;56;3.9;0;;13;29;59;9;28;64;9;33;0;0;20;55;41;0;0;0;56;80;Mannen laagopgeleid;0;0;0;79;92;14;24;;50;3.9;0;;;;50;11;24;71;5;35;0;0;;;55;0;0;0;54;80;Niet-westerse mannen;0;0;0;78;94;21;26;;56;3.9;0;35;17;25;66;9;23;66;11;31;0;0;21;55;42;0;0;0;55;80;Niet-westers laagopgeleid;0;0;0;77;96;16;27;;59;3.7;0;;;;45;13;35;63;2;50;0;0;;;48;0;0;0;48;80;Niet-westers laagopgeleid mannen;0;0;0;76;95;15;26;;59;3.7;0;;;;53;13;26;71;3;45;0;0;;;48;0;0;0;45;80;A;0~0;0~0;0~0;4~87;2~75;3~14;2~21;2~1;3~47;4~4.7;0~0;4~76;2~5;4~47;3~69;2~5;3~19;2~54;4~27;2~14;0~0;0~0;4~37;2~39;1~43;0~0;0~0;0~0;4~78;80~80;DX01;0~0;0~0;0~0;4~87;2~69;3~15;2~21;2~2;3~47;4~4.7;0~0;4~77;1~5;4~46;3~65;2~4;2~19;2~55;4~26;2~14;0~0;0~0;4~35;3~40;1~41;0~0;0~0;0~0;4~80;80~80
Gemiddeld-SD;0;0;0;76;71;12;19;1;38;4.1;0;34;6;36;62;4;18;54;13;14;0;0;31;36;45;0;0;0;62;80;Vrouwen;0;0;0;81;78;16;30;;43;4.5;0;52;6;45;63;6;23;62;15;20;0;0;33;42;47;0;0;0;70;80;Midden;0;0;0;77;88;17;28;;48;4.3;0;;;;63;8;23;65;11;18;0;0;;;48;0;0;0;66;80;Westers;0;0;0;80;84;14;24;;45;4.6;0;65;6;36;71;5;21;55;24;14;0;0;40;40;43;0;0;0;64;80;Antilliaans;0;0;0;;;36;23;;;;0;33;12;35;0;0;22;65;13;30;0;0;21;40;38;0;0;0;;80;2e generatie;0;0;0;82;85;;;;44;4.3;0;41;;36;70;15;30;55;15;18;0;0;28;57;36;0;0;0;66;80;Ouderen (65+);0;0;0;81;86;8;23;;33;4.2;0;;;;0;0;8;85;8;24;0;0;23;10;65;0;0;0;75;80;Turks;;;;;;;;;;;;;;;62;8;;;;;;;;;;;;;;;Nederlands/westers;0;0;0;82;71;11;24;;39;4.6;0;;5;49;71;4;16;58;25;12;0;0;41;34;49;0;0;0;78;80;Mannen middenopgeleid;0;0;0;80;87;16;22;;50;4.3;0;;;;67;8;20;65;15;16;0;0;;;49;0;0;0;66;80;Westerse mannen;0;0;0;81;88;12;20;;49;4.5;0;64;8;35;75;5;18;52;30;11;0;0;40;40;44;0;0;0;65;80;Westers/Nederlands laagopgeleid;0;0;0;82;87;13;26;;35;4.3;0;;;;37;9;23;73;4;28;0;0;;;57;0;0;0;65;80;Westers/Nederlands laagopgeleid mannen;0;0;0;84;87;13;22;;40;4.2;0;;;;46;8;20;72;7;23;0;0;;;56;0;0;0;66;80;E;0~0;0~0;0~0;3~79;2~73;4~16;3~25;3~2;3~42;4~4.6;0~0;3~54;3~8;3~41;4~72;3~5;2~19;3~61;3~21;3~20;0~0;0~0;2~32;3~44;1~38;0~0;0~0;0~0;4~76;80~80;DX02;0~0;0~0;0~0;4~86;3~81;2~13;2~21;2~1;4~48;4~4.7;0~0;4~74;1~5;4~47;4~72;3~5;3~20;2~53;4~27;2~13;0~0;0~0;5~39;2~37;2~44;0~0;0~0;0~0;4~75;80~80
Gemiddeld+SD;0;0;0;86;87;18;32;3;51;4.7;0;69;12;56;72;8;22;66;27;22;0;0;36;48;52;0;0;0;79;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hoog;0;0;0;84;71;13;23;;42;4.6;0;;;;84;3;11;50;38;6;0;0;;;43;0;0;0;81;80;Nederlands;0;0;0;84;65;11;24;;37;4.6;0;70;5;54;71;4;15;59;26;11;0;0;41;32;49;0;0;0;83;80;Turks;0;0;0;;;21;36;;;;0;30;14;27;62;8;33;60;8;32;0;0;24;64;45;0;0;0;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Marokkaans;;;;;;;;;;;;;;;51;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mannen hoogopgeleid;0;0;0;83;73;12;18;;42;4.5;0;;;;85;3;9;43;47;5;0;0;;;45;0;0;0;84;80;Nederlandse mannen;0;0;0;83;67;11;18;;38;4.6;0;69;8;52;73;4;13;54;32;9;0;0;43;32;50;0;0;0;85;80;Niet-westers middenopgeleid;0;0;0;78;98;21;29;;61;3.8;0;;;;62;10;25;68;7;27;0;0;;;38;0;0;0;57;80;Niet-westers middenopgeleid mannen;0;0;0;79;97;22;25;;62;3.8;0;;;;67;10;20;70;9;24;0;0;;;39;0;0;0;58;80;F;0~0;0~0;0~0;3~79;4~88;4~18;4~35;4~3;3~45;2~4.0;0~0;2~41;3~10;2~36;2~62;4~8;5~23;4~63;2~14;3~19;0~0;0~0;3~33;4~48;2~44;0~0;0~0;0~0;2~62;80~80;DX03;0~0;0~0;0~0;4~87;2~68;4~19;2~20;2~1;3~43;4~4.6;0~0;4~61;3~10;3~40;3~69;3~5;1~17;3~61;3~22;3~19;0~0;0~0;3~33;3~44;1~40;0~0;0~0;0~0;4~81;80~80
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Marokkaans;0;0;0;;;24;29;;;;0;37;14;27;51;10;33;61;6;37;0;0;8;69;41;0;0;0;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(overig) niet-westers;;;;;;;;;;;;;;;61;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vrouwen laagopgeleid;0;0;0;80;94;15;29;;44;4;0;;;;32;12;35;64;1;44;0;0;;;56;0;0;0;58;80;Niet-westerse vrouwen;0;0;0;79;94;22;31;;56;3.9;0;37;9;33;52;10;32;61;7;37;0;0;20;55;40;0;0;0;57;80;Westers/Nederlands middenopgeleid;0;0;0;76;79;13;27;;38;4.6;0;;;;65;6;22;64;14;13;0;0;;;48;0;0;0;72;80;Westers/Nederlands middenopgeleid mannen;0;0;0;80;79;12;20;;41;4.6;0;;;;67;6;20;62;18;12;0;0;;;49;0;0;0;72;80;K;0~0;0~0;0~0;3~82;2~72;1~10;2~16;2~1;2~40;3~4.5;0~0;4~75;2~6;4~49;3~70;2~3;2~18;2~54;4~28;2~13;0~0;0~0;4~37;1~30;2~45;0~0;0~0;0~0;4~75;80~80;DX04;0~0;0~0;0~0;2~78;3~79;4~17;4~33;3~2;3~41;3~4.5;0~0;2~42;3~9;2~37;4~71;3~6;4~22;3~63;2~15;4~22;0~0;0~0;1~27;5~51;1~35;0~0;0~0;0~0;3~71;80~80
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(overig) niet-westers;0;0;0;;;18;27;;;;0;44;10;32;61;9;29;61;11;34;0;0;26;54;38;0;0;0;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Westers;;;;;;;;;;;;;;;71;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vrouwen middenopgeleid;0;0;0;75;88;18;34;;45;4.2;0;;;;59;9;27;65;8;21;0;0;;;47;0;0;0;66;80;Westerse vrouwen;0;0;0;78;81;15;28;;41;4.6;0;66;4;36;67;5;24;58;19;16;0;0;39;40;42;0;0;0;62;80;Niet-westers hoogopgeleid;0;0;0;81;91;19;24;;50;4.2;0;;;;81;4;16;58;26;11;0;0;;;35;0;0;0;69;80;Niet-westers hoogopgeleid mannen;0;0;0;79;94;16;22;;48;4.2;0;;;;86;4;13;55;32;9;0;0;;;36;0;0;0;69;80;M;0~0;0~0;0~0;4~87;2~74;3~14;3~23;3~2;3~42;4~4.6;0~0;4~61;2~7;4~48;4~71;3~5;4~21;2~56;3~23;3~17;0~0;0~0;3~34;3~43;1~40;0~0;0~0;0~0;4~77;80~80;DX05;0~0;0~0;0~0;2~76;2~73;3~15;3~24;3~2;3~43;4~4.7;0~0;3~58;2~7;3~44;4~74;2~5;2~18;3~60;3~23;3~19;0~0;0~0;3~33;3~40;1~38;0~0;0~0;0~0;4~75;80~80
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Westers;0;0;0;;;14;24;;;;0;65;6;36;71;5;21;55;24;14;0;0;40;40;43;0;0;0;;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Nederlands;;;;;;;;;;;;;;;71;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vrouwen hoogopgeleid;0;0;0;85;69;15;27;;41;4.7;0;;;;83;3;13;57;30;7;0;0;;;40;0;0;0;78;80;Nederlandse vrouwen;0;0;0;84;64;12;30;;35;4.7;0;70;4;56;70;3;16;64;19;13;0;0;40;32;48;0;0;0;81;80;Westers/Nederlands hoogopgeleid;0;0;0;85;65;10;22;;39;4.7;0;;;;84;3;10;49;41;5;0;0;;;41;0;0;0;84;80;Westers/Nederlands hoogopgeleid mannen;0;0;0;84;67;9;16;;40;4.6;0;;;;85;3;9;41;50;4;0;0;;;44;0;0;0;88;80;N;0~0;0~0;0~0;2~79;4~84;3~16;3~27;4~3;2~40;3~4.3;0~0;2~43;4~12;2~36;1~59;3~6;3~20;4~68;2~12;4~21;0~0;0~0;2~32;3~43;3~49;0~0;0~0;0~0;2~65;80~80;DX06;0~0;0~0;0~0;2~77;5~91;5~22;5~43;5~4;4~52;1~3.9;0~0;2~38;5~13;1~28;1~55;5~10;5~24;4~67;1~9;5~25;0~0;0~0;1~25;5~55;1~38;0~0;0~0;0~0;1~58;80~80
